seller_id,seller_state,revenue,items
4869f7a5dfa277a7dca6462dcf3b52b2,SP,249640.7,1156
7c67e1448b00f6e969d365cea6b010ab,SP,239536.44,1364
53243585a1d6dc2643021fd1853d8905,BA,235856.68,410
4a3ca9315b744ce9f8e9374361493884,SP,235539.96,1987
fa1c13f2614d7b5c4749cbc52fecda94,SP,204084.73,586
da8622b14eb17ae2831f4ac5b9dab84a,SP,185192.32,1551
7e93a43ef30c4f03f38b393420bc753a,SP,182754.05,340
1025f0e2d44d7041d6cf58b6550e0bfa,SP,172860.69,1428
7a67c85e85bb2ce8582c35f2203ad736,SP,162648.38,1171
955fee9216a65b617aa5c0531780ce60,SP,160602.68,1499
